,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
848,MLS Listing,,Single Family Residential,2003 EVELETH Ave,San Leandro,CA,94577,699888,3.0,3.0,Alameda County,1248.0,5650.0,1952.0,1.0,561.0,,Active,,,http://www.redfin.com/CA/San-Leandro/2003-Eveleth-Ave-94577/home/1973609,Bridge MLS,40892990,N,Y,37.7141233,-122.1628524
849,MLS Listing,,Single Family Residential,14620 Saturn Dr,San Leandro,CA,94578,649000,3.0,2.0,Hillcrest Knolls,1640.0,4872.0,1959.0,1.0,396.0,,Active,,,http://www.redfin.com/CA/San-Leandro/14620-Saturn-Dr-94578/home/1292401,Bridge MLS,40892877,N,Y,37.71359870000001,-122.1286741
850,MLS Listing,,Single Family Residential,16856 Melody Way,San Leandro,CA,94578,848950,3.0,1.0,Ashland,1160.0,6316.0,1945.0,1.0,732.0,,Active,,,http://www.redfin.com/CA/San-Leandro/16856-Melody-Way-94578/home/122533897,Bridge MLS,40892876,N,Y,37.690776,-122.10851
851,MLS Listing,,Single Family Residential,589 Muscari St,San Leandro,CA,94578,1200000,5.0,4.0,Alameda County,3074.0,5170.0,2003.0,1.0,390.0,,Active,January-25-2020 12:00 PM,January-25-2020 02:30 PM,http://www.redfin.com/CA/San-Leandro/589-Muscari-St-94578/home/1538680,Bridge MLS,40892873,N,Y,37.7026565,-122.1383897
852,MLS Listing,,Single Family Residential,969 Alice Ave,San Leandro,CA,94577,799000,4.0,2.5,Broadmoor,1744.0,4480.0,1949.0,2.0,458.0,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/969-Alice-Ave-94577/home/757771,Bridge MLS,40892857,N,Y,37.73802070000001,-122.146064
853,MLS Listing,,Single Family Residential,1657 Renaissance Ln,San Leandro,CA,94578,699000,4.0,2.5,Alameda County,1708.0,2350.0,2004.0,3.0,409.0,150.0,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/1657-Renaissance-Ln-94578/home/1740904,Bridge MLS,40892788,N,Y,37.7015856,-122.1143874
854,MLS Listing,,Single Family Residential,808 Chico Dr,San Leandro,CA,94578,688000,3.0,1.0,Floresta Gardens,1139.0,5035.0,1954.0,5.0,604.0,,Active,,,http://www.redfin.com/CA/San-Leandro/808-Chico-Dr-94578/home/930062,Bridge MLS,40892734,N,Y,37.7011974,-122.1469956
855,MLS Listing,,Single Family Residential,3790 Anza Way,San Leandro,CA,94578,708000,3.0,2.0,Floresta Gardens,1551.0,5035.0,1954.0,5.0,456.0,,Active,,,http://www.redfin.com/CA/San-Leandro/3790-Anza-Way-94578/home/1067837,Bridge MLS,40892634,N,Y,37.6972173,-122.1458423
856,MLS Listing,,Townhouse,14557 Kings Ct,San Leandro,CA,94578,499000,3.0,1.5,Parkway Crest,1195.0,600.0,1974.0,6.0,418.0,439.0,Active,,,http://www.redfin.com/CA/San-Leandro/14557-Kings-Ct-94578/home/1391120,Bridge MLS,40892598,N,Y,37.7137086,-122.1312307
857,MLS Listing,,Condo/Co-op,1570 165Th Ave #207,San Leandro,CA,94578,299000,1.0,1.0,Ashland,648.0,,1987.0,6.0,461.0,392.0,Active,,,http://www.redfin.com/CA/San-Leandro/1570-165th-Ave-94578/unit-207/home/17184429,Bridge MLS,40892583,N,Y,37.6955664,-122.108226
858,MLS Listing,,Townhouse,16314 Ridgehaven Dr #304,SAN LEANDRO,CA,94578,779950,4.0,3.5,SAN LEANDRO,1918.0,6352.0,2019.0,6.0,407.0,316.0,Active,January-24-2020 12:00 PM,January-24-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/16314-Ridgehaven-Dr-94578/unit-304/home/170324787,MLSListings,ML81779340,N,Y,37.7013428,-122.1074465
859,MLS Listing,,Condo/Co-op,1570 165Th Ave #106,San Leandro,CA,94578,399000,2.0,2.0,Ashland,895.0,,1987.0,6.0,446.0,422.0,Active,,,http://www.redfin.com/CA/San-Leandro/1570-165th-Ave-94578/unit-106/home/17184531,Bridge MLS,40892564,N,Y,37.6955664,-122.108226
860,MLS Listing,,Condo/Co-op,14443 Doolittle Dr,San Leandro,CA,94577,400000,3.0,2.0,Marina Faire,1060.0,,1979.0,6.0,377.0,485.0,Active,January-25-2020 02:00 PM,January-25-2020 05:00 PM,http://www.redfin.com/CA/San-Leandro/14443-Doolittle-Dr-94577/unit-20/home/1581052,Bridge MLS,40892521,N,Y,37.6938554,-122.1736566
861,MLS Listing,,Single Family Residential,285 Elsie Ave,San Leandro,CA,94577,685000,3.0,1.0,Assumption Parsh,1228.0,5500.0,1946.0,8.0,558.0,,Active,,,http://www.redfin.com/CA/San-Leandro/285-Elsie-Ave-94577/home/1575455,Bridge MLS,40892281,N,Y,37.721328,-122.1498093
862,MLS Listing,,Single Family Residential,325 Begier Ave,San Leandro,CA,94577,949000,3.0,2.0,San Leandro,2185.0,5000.0,1942.0,9.0,434.0,,Active,,,http://www.redfin.com/CA/San-Leandro/325-Begier-Ave-94577/home/1361595,Bridge MLS,40892237,N,Y,37.7306266,-122.1546693
863,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #30,San Leandro,CA,94577,119950,1.0,1.0,San Leandro,403.0,,,12.0,298.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-30/home/170268684,Bridge MLS,40892085,N,Y,37.7278311,-122.1393775
864,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #29,San Leandro,CA,94577,119950,1.0,1.0,San Leandro,406.0,,,12.0,295.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-29/home/170268677,Bridge MLS,40892084,N,Y,37.7278311,-122.1393775
865,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #24,San Leandro,CA,94577,119950,1.0,1.0,San Leandro,352.0,,,12.0,341.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-24/home/170268676,Bridge MLS,40892083,N,Y,37.7278311,-122.1393775
866,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #23,San Leandro,CA,94577,119950,1.0,1.0,San Leandro,394.0,,,12.0,304.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-23/home/170268675,Bridge MLS,40892082,N,Y,37.7278311,-122.1393775
867,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #18,San Leandro,CA,94577,99950,1.0,1.0,San Leandro,375.0,,,12.0,267.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-18/home/170268637,Bridge MLS,40892081,N,Y,37.7278311,-122.1393775
868,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #12,San Leandro,CA,94577,99950,1.0,1.0,San Leandro,335.0,,,12.0,298.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-12/home/170268636,Bridge MLS,40892078,N,Y,37.7278311,-122.1393775
869,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #11,San Leandro,CA,94577,99950,1.0,1.0,San Leandro,368.0,,,12.0,272.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-11/home/170268619,Bridge MLS,40892077,N,Y,37.7278311,-122.1393775
870,MLS Listing,,Townhouse,650 Fargo Ave #3,San Leandro,CA,94579,550000,3.0,2.5,San Leandro,1136.0,,1965.0,13.0,484.0,355.0,Active,January-25-2020 12:00 PM,January-25-2020 02:00 PM,http://www.redfin.com/CA/San-Leandro/650-Fargo-Ave-94579/unit-3/home/17183567,Bridge MLS,40891999,N,Y,37.6874159,-122.1407221
871,MLS Listing,,Single Family Residential,1637 View Dr,San Leandro,CA,94577,1050000,3.0,2.0,Bay O Vista,1973.0,9875.0,1956.0,13.0,532.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1637-View-Dr-94577/home/1512637,Bridge MLS,40891876,N,Y,37.7272785,-122.1316244
872,MLS Listing,,Single Family Residential,1429 Virginia St,San Leandro,CA,94577,599900,2.0,1.0,Alameda County,955.0,5750.0,1943.0,14.0,628.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1429-Virginia-St-94577/home/1967241,Bridge MLS,40891861,N,Y,37.721098,-122.1718776
873,MLS Listing,,Condo/Co-op,14197 Doolittle Dr,San Leandro,CA,94577,439000,2.0,2.0,Doolittle,1047.0,,1973.0,14.0,419.0,220.0,Active,,,http://www.redfin.com/CA/San-Leandro/14197-Doolittle-Dr-94577/unit-24/home/800896,Bridge MLS,40891827,N,Y,37.696006,-122.1748754
874,MLS Listing,,Townhouse,16318 Ridgehaven Dr #403,SAN LEANDRO,CA,94578,759950,4.0,3.5,SAN LEANDRO,1773.0,7000.0,2019.0,16.0,429.0,316.0,Active,January-24-2020 12:00 PM,January-24-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/16318-Ridgehaven-Dr-94578/unit-403/home/170213051,MLSListings,ML81778226,N,Y,37.701462,-122.107392
875,MLS Listing,,Single Family Residential,2027 Gulfstream Way,San Leandro,CA,94579,1200000,5.0,3.5,Marina Vista,2820.0,5782.0,1997.0,40.0,426.0,38.0,Active,,,http://www.redfin.com/CA/San-Leandro/2027-Gulfstream-Way-94579/home/1805571,Bridge MLS,40890750,N,Y,37.6884184,-122.1654405
876,MLS Listing,,Single Family Residential,14344 Antone Ct,San Leandro,CA,94578,699900,3.0,2.0,Lower Bal,1568.0,5192.0,1955.0,62.0,446.0,,Active,,,http://www.redfin.com/CA/San-Leandro/14344-Antone-Ct-94578/home/1675007,Bridge MLS,40889482,N,Y,37.7091792,-122.139898
877,MLS Listing,,Mobile/Manufactured Home,233 Santa Susanna,San Leandro,CA,94579,129950,2.0,2.0,San Leandro,1440.0,,,68.0,90.0,,Active,,,http://www.redfin.com/CA/San-Leandro/233-Santa-Susana-94579/unit-233/home/31206707,Bridge MLS,40889089,N,Y,37.6833144,-122.1596369
878,MLS Listing,,Mobile/Manufactured Home,2399 E 14th #10,San Leandro,CA,94577,99000,1.0,1.0,San Leandro,624.0,,,70.0,159.0,,Active,,,http://www.redfin.com/CA/San-Leandro/2399-E-14th-St-94577/unit-10/home/169793958,Bridge MLS,40888910,N,Y,37.7159947,-122.1460405
879,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #20,San Leandro,CA,94577,69950,1.0,1.0,San Leandro,330.0,,,71.0,212.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-20/home/169783544,Bridge MLS,40888741,N,Y,37.7278311,-122.1393775
880,MLS Listing,,Single Family Residential,1630 165th Ave,San Leandro,CA,94578,668000,4.0,2.0,Ashland,1600.0,7500.0,1938.0,76.0,418.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1630-165th-Ave-94578/home/794994,Bridge MLS,40888415,N,Y,37.6967208,-122.1072877
881,MLS Listing,,Vacant Land,16860 Robey Dr,Castro Valley,CA,94578,210000,,,Castro Valley,,4185.0,,78.0,,,Active,,,http://www.redfin.com/CA/San-Leandro/16860-Robey-Dr-94578/home/49734176,Bridge MLS,40888086,N,Y,37.69611810000001,-122.1015363
882,MLS Listing,,Single Family Residential,525 Lafayette Ave,San Leandro,CA,94577,900000,6.0,4.0,Best Manor,2919.0,4000.0,1940.0,82.0,308.0,,Active,,,http://www.redfin.com/CA/San-Leandro/525-Lafayette-Ave-94577/home/1567828,Bridge MLS,40887875,N,Y,37.7309506,-122.1619432
883,MLS Listing,,Single Family Residential,15699 Wicks Blvd,San Leandro,CA,94579,729900,3.0,2.0,San Leandro Brdr,1500.0,6525.0,1958.0,89.0,487.0,,Active,,,http://www.redfin.com/CA/San-Leandro/15699-Wicks-Blvd-94579/home/2046026,Bridge MLS,40887126,N,Y,37.6757139,-122.1546693
884,MLS Listing,,Vacant Land,1405 Grand Ave,San Leandro,CA,94577,469900,,,San Leandro,,10728.0,,117.0,,,Active,,,http://www.redfin.com/CA/San-Leandro/1405-Grand-Ave-94577/home/22715149,Bridge MLS,40884000,N,Y,37.7282914,-122.13943229999998
885,MLS Listing,,Multi-Family (5+ Unit),16005 Mateo St,SAN LORENZO,CA,94580,3500000,7.0,,SAN LORENZO,5620.0,43560.0,1912.0,134.0,623.0,,Active,,,http://www.redfin.com/CA/SAN-LORENZO/16005-MATEO-ST-94580/home/1945656,MLSListings,ML81768029,N,Y,37.699697,-122.117774
886,MLS Listing,,Single Family Residential,189 Dutton Ave,San Leandro,CA,94577,565000,1.0,1.0,Dutton Manor,936.0,4171.0,1940.0,139.0,604.0,,Active,,,http://www.redfin.com/CA/San-Leandro/189-Dutton-Ave-94577/home/1977424,Bridge MLS,40880929,N,Y,37.7320018,-122.1575079
887,MLS Listing,,Mobile/Manufactured Home,2399 E 14th St #24,San Leandro,CA,94577,99888,2.0,1.0,San Leandro,700.0,,,145.0,143.0,,Active,,,http://www.redfin.com/CA/San-Leandro/2399-E-14th-St-94577/unit-24/home/126956474,Bridge MLS,40880192,N,Y,37.7159947,-122.1460405
888,MLS Listing,,Single Family Residential,491 W Juana Ave,SAN LEANDRO,CA,94577,900000,2.0,1.5,SAN LEANDRO,1116.0,7500.0,1902.0,147.0,806.0,,Active,,,http://www.redfin.com/CA/San-Leandro/491-W-Juana-Ave-94577/home/1761725,MLSListings,ML81766326,N,Y,37.7215506,-122.1581289
889,MLS Listing,,Multi-Family (5+ Unit),1991 Bancroft Ave,San Leandro,CA,94577,2650000,11.0,,San Leandro,8824.0,,1955.0,153.0,300.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1991-Bancroft-Ave-94577/home/1824129,San Francisco MLS,488717,N,Y,37.7208578,-122.14537649999998
890,MLS Listing,,Townhouse,16322 Ridgehaven Dr #504,SAN LEANDRO,CA,94578,789950,4.0,3.5,SAN LEANDRO,1918.0,1918.0,2019.0,203.0,412.0,316.0,Active,January-24-2020 12:00 PM,January-24-2020 04:00 PM,http://www.redfin.com/CA/San-Leandro/16322-Ridgehaven-DR-94578/unit-504/home/167174117,MLSListings,ML81759154,N,Y,37.7050703,-122.1235054
891,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #39,San Leandro,CA,94577,74950,1.0,1.0,San Leandro,330.0,,,215.0,227.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-39/home/167121890,Bridge MLS,40871336,N,Y,37.7278311,-122.1393775
892,MLS Listing,,Townhouse,16258 Miramar Pl,SAN LEANDRO,CA,94578,599999,2.0,2.0,SAN LEANDRO,1513.0,1513.0,1985.0,232.0,397.0,298.0,Active,,,http://www.redfin.com/CA/San-Leandro/16258-Miramar-Pl-94578/unit-21/home/796069,MLSListings,ML81755130,N,Y,37.702208,-122.105774
893,MLS Listing,,Mobile/Manufactured Home,1468 Grand Ave #19,San Leandro,CA,94577,69950,1.0,1.0,San Leandro,330.0,,,236.0,212.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1468-Grand-Ave-94577/unit-19/home/166939541,Bridge MLS,40867904,N,Y,37.7278311,-122.1393775
894,MLS Listing,,Single Family Residential,1725 Estudillo Ave,San Leandro,CA,94577,1449000,4.0,4.5,Lebrun,4750.0,13653.0,1992.0,292.0,305.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1725-Estudillo-Ave-94577/home/792241,Bridge MLS,40859848,N,Y,37.7320758,-122.1323564
895,MLS Listing,,Condo/Co-op,398 Parrott #302,San Leandro,CA,94577,425000,2.0,2.0,San Leandro,969.0,,1976.0,327.0,439.0,431.0,Active,,,http://www.redfin.com/CA/San-Leandro/398-Parrott-St-94577/unit-302/home/1402678,San Francisco MLS,481802,N,Y,37.72151229999999,-122.1565987
896,MLS Listing,,Vacant Land,0 Revere Ave,OAKLAND,CA,94603,199999,,,OAKLAND,,5988.0,,541.0,,,Active,,,http://www.redfin.com/CA/Oakland/Revere-Ave-94605/home/22670958,MLSListings,ML81716872,N,Y,37.735166,-122.13238
897,New Construction Home,,Multi-Family (2-4 Unit),"16322 Ridgehaven Drive, Unit 504",San Leandro,CA,94578,824950,4.0,3.5,Bishops Ridge,1918.0,,2019.0,201.0,430.0,,Active,,,http://www.redfin.com/CA/San-Leandro/16322-Ridgehaven-Drive-94578/unit-504/home/167177198,NewHomeSource.com,1676499,N,Y,37.701967,-122.107639
