,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
358,Single Family Residential,6880 Buckingham Blvd,Berkeley,94705,1599000,3550,5060.0,2018,32,5.0,3.5,121219,194844,85752,29.7%,21,450.4225352112676,-1050818.1419750894
359,Single Family Residential,2723 Webster St,Berkeley,94705,2700000,3197,6550.0,1912,32,6.0,4.0,121219,194844,85752,29.7%,21,844.5417578980295,494512.270703916
360,Single Family Residential,1985 Tunnel Rd,Berkeley,94705,1495000,4083,9334.0,1996,32,3.0,3.5,121219,194844,85752,29.7%,21,366.1523389664462,-1960769.5182396024
361,Single Family Residential,740 San Luis Rd,Berkeley,94707,3295000,5990,18990.0,1939,64,7.0,5.5,149081,208731,86585,36.5%,57,550.0834724540902,-910199.3774224846
362,Single Family Residential,819 Coventry,Kensington,94707,1344000,2161,4730.0,1932,64,3.0,1.5,149081,208731,86585,36.5%,57,621.9342896807034,432045.0519439464
363,Single Family Residential,1960 San Antonio Ave,Berkeley,94707,5995000,12000,130680.0,1912,64,7.0,6.5,149081,208731,86585,36.5%,57,499.5833333333333,-3771503.902997963
364,Multi-Family (2-4 Unit),1468 Stannage Ave,Berkeley,94702,1190000,2950,4000.0,1983,46,5.0,3.0,78289,104656,47049,13.6%,79,403.3898305084746,-608451.7417617012
365,Single Family Residential,1112 CHUAUCER #2,Berkeley,94702,1499000,4800,4800.0,1948,46,5.0,5.0,78289,104656,47049,13.6%,79,312.2916666666667,-2207280.111055521
366,Single Family Residential,1112 CHUAUCER #2,Berkeley,94702,1499000,4800,4800.0,1948,46,5.0,5.0,78289,104656,47049,13.6%,79,312.2916666666667,-2207280.111055521
367,Other,1112-1114 Chaucer St Unit Duplex,BERKELEY,94702,1499000,2920,4800.0,1948,46,5.0,5.0,78289,104656,47049,13.6%,79,513.3561643835617,-503188.48179810285
368,Other,1112-1114 Chaucer St Unit Duplex,BERKELEY,94702,1499000,2920,4800.0,1948,46,5.0,5.0,78289,104656,47049,13.6%,79,513.3561643835617,-503188.48179810285
369,Multi-Family (2-4 Unit),3036 Acton St,Berkeley,94702,1250000,1865,4664.0,1957,46,4.0,3.0,78289,104656,47049,13.6%,79,670.2412868632708,276480.7368679289
370,Single Family Residential,3104 Acton St,Berkeley,94702,799000,883,2650.0,1921,46,2.0,1.0,78289,104656,47049,13.6%,79,904.8697621744054,633064.392129783
371,Single Family Residential,3034 Acton St,Berkeley,94702,1250000,1865,4664.0,1957,46,4.0,3.0,78289,104656,47049,13.6%,79,670.2412868632708,276480.7368679289
372,Single Family Residential,1636 Chestnut St,Berkeley,94702,995000,1946,3863.0,1915,46,5.0,2.0,78289,104656,47049,13.6%,79,511.30524152106887,238405.04031378776
373,Single Family Residential,1322 Carrison St,Berkeley,94702,1199000,2406,4216.0,1915,46,3.0,2.0,78289,104656,47049,13.6%,79,498.33748960931007,-301579.8476714322
374,Single Family Residential,2422 Bonar St,Berkeley,94702,1499000,1792,4440.0,1937,46,4.0,3.0,78289,104656,47049,13.6%,79,836.4955357142857,595471.1859975671
375,Single Family Residential,2240 Virginia St,Berkeley,94709,2395000,2169,5450.0,1955,56,4.0,3.0,71175,107020,47547,14.1%,93,1104.1954817888427,1318748.0553176021
376,Condo/Co-op,1301 Bonita Ave #3,Berkeley,94709,749000,942,5800.0,1926,56,1.0,1.0,71175,107020,47547,14.1%,93,795.1167728237792,537557.0056812603
377,Multi-Family (2-4 Unit),1915 Berryman St,Berkeley,94709,1625000,1972,10420.0,1900,56,5.0,4.0,71175,107020,47547,14.1%,93,824.0365111561866,782527.6576021226
378,Condo/Co-op,2352 Hilgard Ave,Berkeley,94709,879000,1135,,1960,56,2.0,1.5,71175,107020,47547,14.1%,93,774.4493392070484,590229.1643336451
379,Single Family Residential,2543 Chilton Way,Berkeley,94704,795000,1032,2343.0,1915,44,2.0,1.0,31379,63155,19692,6.8%,99,770.3488372093024,460664.25286470517
380,Condo/Co-op,2029 CHANNING Way Unit 2A,Berkeley,94704,789000,804,,1995,44,2.0,1.0,31379,63155,19692,6.8%,99,981.3432835820895,646046.9495450134
381,Single Family Residential,780 Creston Rd,Berkeley,94708,995000,1872,3200.0,1965,55,3.0,2.0,160938,215829,91816,39.3%,4,531.517094017094,124098.77575771883
382,Single Family Residential,1 Rock Ln,Berkeley,94708,1395000,2434,4879.0,1936,55,3.0,2.0,160938,215829,91816,39.3%,4,573.1306491372227,20224.5043363499
383,Single Family Residential,488 Spruce St,Berkeley,94708,1695000,3172,5194.0,1936,55,5.0,3.5,160938,215829,91816,39.3%,4,534.3631778058008,-199908.04967798362
384,Single Family Residential,1186 MILLER Ave,Berkeley,94708,2195000,3656,7650.0,1950,55,4.0,3.5,160938,215829,91816,39.3%,4,600.382932166302,-304808.80358066456
385,Single Family Residential,75 Whitaker Ave,Berkeley,94708,850000,1210,7200.0,1939,55,3.0,1.0,160938,215829,91816,39.3%,4,702.4793388429752,702931.9495328428
386,Single Family Residential,1347 La Loma Ave,Berkeley,94708,1499000,1854,6000.0,1937,55,4.0,2.0,160938,215829,91816,39.3%,4,808.522114347357,813277.0028335878
387,Single Family Residential,965 Hilldale Ave,Berkeley,94708,1849000,3425,5200.0,1930,55,4.0,4.0,160938,215829,91816,39.3%,4,539.8540145985402,-497006.22445825255
388,Single Family Residential,150 Bret Harte Rd,Berkeley,94708,2650000,3987,11473.0,1980,55,4.0,4.0,160938,215829,91816,39.3%,4,664.6601454727866,-214973.18414574722
389,Single Family Residential,1067 65th St,Oakland,94608,900000,1190,4400.0,1922,33,2.0,2.0,82753,103807,50280,13.2%,84,756.3025210084033,112618.0378777401
390,Multi-Family (2-4 Unit),928 60Th St,Oakland,94608,1095000,2389,5670.0,1911,33,6.0,4.0,82753,103807,50280,13.2%,84,458.35077438258685,-360655.80799019244
391,Condo/Co-op,958 28Th St #24,Oakland,94608,599000,1468,,1924,33,1.0,1.0,82753,103807,50280,13.2%,84,408.0381471389646,-485457.0591332922
392,Multi-Family (2-4 Unit),2927 Filbert St,Oakland,94608,675000,1876,6210.0,1986,33,6.0,4.0,82753,103807,50280,13.2%,84,359.80810234541576,-329984.83833363664
393,Townhouse,6 South Ct,OAKLAND,94608,710000,1500,672.0,2005,33,3.0,2.0,82753,103807,50280,13.2%,84,473.3333333333333,-210719.5206960903
394,Multi-Family (2-4 Unit),4111 West St,Oakland,94608,998000,1716,4080.0,1905,33,4.0,3.0,82753,103807,50280,13.2%,84,581.5850815850816,-54699.11690650368
395,Single Family Residential,4109 West St,Oakland,94608,998000,1716,4080.0,1905,33,4.0,3.0,82753,103807,50280,13.2%,84,581.5850815850816,-54699.11690650368
396,Single Family Residential,5625 Market St,Oakland,94608,899000,1889,4012.0,1912,33,3.0,2.0,82753,103807,50280,13.2%,84,475.91318157755427,-356554.1169946382
397,Single Family Residential,927 34TH,Oakland,94608,799999,1142,3100.0,1911,33,2.0,2.0,82753,103807,50280,13.2%,84,700.5245183887916,58227.2738829084
398,Single Family Residential,924 34th St,Oakland,94608,799999,1142,3100.0,1911,33,2.0,1.0,82753,103807,50280,13.2%,84,700.5245183887916,177035.43668743793
399,Single Family Residential,801 Aileen St,Oakland,94608,879500,1554,3690.0,1926,33,3.0,2.0,82753,103807,50280,13.2%,84,565.958815958816,-75074.145185231
400,Single Family Residential,1036 30Th St,Oakland,94608,949000,1987,2501.0,2006,33,4.0,3.0,82753,103807,50280,13.2%,84,477.60442878711626,-368637.82777873636
401,Multi-Family (2-4 Unit),1050 37th St,Oakland,94608,849000,1596,3340.0,1922,33,4.0,2.0,82753,103807,50280,13.2%,84,531.9548872180451,20633.058343319455
402,Single Family Residential,1014 54th St,OAKLAND,94608,970000,1171,5000.0,1923,33,3.0,1.0,82753,103807,50280,13.2%,84,828.3518360375747,481970.50555535196
403,Condo/Co-op,6501 San Pablo Ave #404,Oakland,94608,675000,1010,,2006,33,1.0,1.5,82753,103807,50280,13.2%,84,668.3168316831683,-69381.2421603481
404,Single Family Residential,819 & 821 30th St,OAKLAND,94608,1599000,2225,4214.0,2019,33,5.0,3.5,82753,103807,50280,13.2%,84,718.6516853932584,167256.88400276634
405,Single Family Residential,819 30th St,Oakland,94608,1599000,2230,4214.0,1910,33,5.0,3.5,82753,103807,50280,13.2%,84,717.0403587443947,183548.81428783038
406,Townhouse,12 Covent Ln,Oakland,94608,689000,1135,728.0,2005,33,2.0,1.5,82753,103807,50280,13.2%,84,607.0484581497798,-4981.011260816245
407,Single Family Residential,6128 Marshall St,Oakland,94608,1039000,2000,7200.0,2007,33,4.0,2.5,82753,103807,50280,13.2%,84,519.5,-231208.405393356
408,Condo/Co-op,981 41st St #130,Oakland,94608,860880,1556,,2019,33,2.0,3.5,82753,103807,50280,13.2%,84,553.2647814910026,-454999.743634196
409,Multi-Family (2-4 Unit),933 Apgar St,Oakland,94608,1495000,3312,4950.0,1908,33,6.0,4.0,82753,103807,50280,13.2%,84,451.3888888888889,-796719.143357431
410,Single Family Residential,835 Apgar St,OAKLAND,94608,1200000,1798,4185.0,1911,33,3.0,2.0,82753,103807,50280,13.2%,84,667.4082313681869,27122.216002075234
411,Multi-Family (2-4 Unit),3009 San Pablo Ave,Oakland,94608,1450000,2700,2429.0,1906,33,4.0,2.0,82753,103807,50280,13.2%,84,537.0370370370371,-376010.8109959611
412,Single Family Residential,1034 Dwight Way,Berkeley,94710,649000,600,2185.0,1924,43,1.0,1.0,67250,98269,40417,9.9%,92,1081.6666666666667,523766.139075371
413,Multi-Family (2-4 Unit),982 University Ave,Berkeley,94710,1695000,3436,3500.0,1893,43,2.0,2.0,67250,98269,40417,9.9%,92,493.3061699650757,-950246.7788801426
414,Condo/Co-op,2018 9Th St Unit D,Berkeley,94710,395000,583,,1986,43,1.0,1.0,67250,98269,40417,9.9%,92,677.5300171526586,273330.58368749823
415,Condo/Co-op,933 Addison St Unit D,Berkeley,94710,399000,583,,1986,43,1.0,1.0,67250,98269,40417,9.9%,92,684.3910806174957,277330.58368749823
416,Condo/Co-op,1814 63rd St Unit A,Berkeley,94703,599000,803,5400.0,1933,39,1.0,1.0,77259,109937,45542,13.5%,91,745.9526774595267,219064.89330060373
417,Single Family Residential,1404 Cypress St,Berkeley,94703,1350000,1612,3800.0,1925,39,3.0,2.0,77259,109937,45542,13.5%,91,837.468982630273,446508.1422278404
418,Multi-Family (2-4 Unit),1633 Stuart St,Berkeley,94703,2195000,2905,5400.0,1965,39,5.0,4.5,77259,109937,45542,13.5%,91,755.5938037865749,141855.95461444417
419,Multi-Family (2-4 Unit),2326 Mckinley Ave,Berkeley,94703,2650000,3440,7800.0,1906,39,7.0,4.5,77259,109937,45542,13.5%,91,770.3488372093024,450213.0380258644
420,Single Family Residential,697 60Th St,Oakland,94609,899888,1166,4074.0,1908,27,3.0,1.0,80026,106542,47790,12.2%,92,771.7735849056604,315792.0840953118
421,Single Family Residential,5833 Ayala Ave,Oakland,94609,1995000,2265,4000.0,1911,27,4.0,3.5,80026,106542,47790,12.2%,92,880.794701986755,280655.22820569505
422,Multi-Family (2-4 Unit),689 Apgar St,Oakland,94609,900000,2732,5456.0,1908,27,4.0,2.0,80026,106542,47790,12.2%,92,329.4289897510981,-1058862.9996880563
423,Single Family Residential,340 45Th St,Oakland,94609,1295000,1400,4500.0,1915,27,2.0,1.5,80026,106542,47790,12.2%,92,925.0,274544.50502128573
424,Single Family Residential,551 43rd St,Oakland,94609,950000,1177,,1923,27,4.0,1.5,80026,106542,47790,12.2%,92,807.1367884451996,457176.7024186443
425,Single Family Residential,489 36th St,Oakland,94609,700000,1929,4687.0,1915,27,4.0,2.5,80026,106542,47790,12.2%,92,362.88232244686367,-591739.738593549
426,Condo/Co-op,414 North St,Oakland,94609,600000,750,,1941,27,1.0,1.0,80026,106542,47790,12.2%,92,800.0,59648.8401385051
427,Single Family Residential,418 43rd St,Oakland,94609,995000,1331,4000.0,1912,27,3.0,2.0,80026,106542,47790,12.2%,92,747.5582268970699,141770.50112426118
428,Single Family Residential,555 34th,Oakland,94609,545000,707,,1912,27,2.0,1.0,80026,106542,47790,12.2%,92,770.8628005657708,212678.9068435399
429,Multi-Family (2-4 Unit),3415 Martin Luther King Jr Way,Oakland,94609,849000,2591,5025.0,1912,27,6.0,4.0,80026,106542,47790,12.2%,92,327.672713238132,-893410.3420026945
430,Single Family Residential,3281 Martin Luther King Jr Way,Oakland,94609,1199000,3537,6407.0,1903,27,7.0,4.0,80026,106542,47790,12.2%,92,338.98784280463667,-1235662.1778314444
431,Multi-Family (2-4 Unit),747 55Th St,Oakland,94609,1199990,3081,5200.0,1922,27,4.0,4.0,80026,106542,47790,12.2%,92,389.48068808828305,-1315508.6483877478
432,Condo/Co-op,438 W Grand Ave #612,Oakland,94612,799000,1188,,2008,25,2.0,2.0,51006,84797,48526,11.8%,95,672.5589225589225,-140951.4875643102
433,Condo/Co-op,1555 Lakeside Dr #194,Oakland,94612,899000,1387,,1968,25,2.0,2.0,51006,84797,48526,11.8%,95,648.1614996395098,-213689.53190812375
434,Condo/Co-op,438 W Grand #707,Oakland,94612,899000,1139,,2008,25,2.0,2.0,51006,84797,48526,11.8%,95,789.2888498683055,3463.666602505604
435,Single Family Residential,780 19th St,OAKLAND,94612,780000,2058,3000.0,1890,25,4.0,3.0,51006,84797,48526,11.8%,95,379.0087463556851,-717785.4378557424
436,Condo/Co-op,1425 Lakeside Dr #307,Oakland,94612,449800,767,,1959,25,1.0,1.0,51006,84797,48526,11.8%,95,586.4406779661017,-143887.43287738878
437,Multi-Family (5+ Unit),589 W Grand Ave,Oakland,94612,1500000,4111,6469.0,1906,25,9.0,4.0,51006,84797,48526,11.8%,95,364.8747263439552,-1162988.9194492712
438,Condo/Co-op,244 Lakeside Dr #401,Oakland,94612,1295000,2685,,1926,25,3.0,3.0,51006,84797,48526,11.8%,95,482.30912476722534,-941508.954500196
439,Multi-Family (2-4 Unit),546 25th St,Oakland,94612,1100000,3014,4053.0,1907,25,6.0,4.0,51006,84797,48526,11.8%,95,364.963503649635,-1059363.8186017773
440,Multi-Family (2-4 Unit),642 Douglas Ave,Oakland,94603,499000,1514,5000.0,1963,26,4.0,2.0,50742,62683,19338,1.8%,67,329.5904887714663,-383580.7820470731
441,Multi-Family (2-4 Unit),1622 99Th Ave,Oakland,94603,799000,1940,3500.0,1966,26,6.0,2.0,50742,62683,19338,1.8%,67,411.8556701030928,-143267.53599603497
442,Single Family Residential,10505 Sunnyside St,Oakland,94603,550000,1297,4300.0,1956,26,3.0,1.0,50742,62683,19338,1.8%,67,424.05551272166537,-179252.75861928053
443,Single Family Residential,2033 96Th Ave,Oakland,94603,449000,1478,2673.0,1921,26,3.0,2.0,50742,62683,19338,1.8%,67,303.7889039242219,-556438.4282837668
444,Single Family Residential,9870 Elmar Ave,Oakland,94603,499000,1745,5000.0,1947,26,3.0,2.0,50742,62683,19338,1.8%,67,285.9598853868195,-753422.9107667655
445,Single Family Residential,2108 108Th Ave,Oakland,94603,499000,1269,5050.0,1940,26,2.0,1.0,50742,62683,19338,1.8%,67,393.22301024428685,-365329.072457233
446,Single Family Residential,9642 Cherry St,Oakland,94603,500000,1252,6000.0,1923,26,3.0,1.0,50742,62683,19338,1.8%,67,399.36102236421726,-182158.79065509723
447,Single Family Residential,10400 Voltaire Ave,Oakland,94603,515000,915,4750.0,1947,26,2.0,1.0,50742,62683,19338,1.8%,67,562.8415300546449,-29789.571203322732
448,Single Family Residential,,Oakland,94603,399000,993,5000.0,1941,26,2.0,1.0,50742,62683,19338,1.8%,67,401.81268882175226,-215344.965061674
449,Single Family Residential,2027 90Th Ave,Oakland,94603,495000,1070,4800.0,1915,26,3.0,1.0,50742,62683,19338,1.8%,67,462.61682242990656,-20659.844540192047
450,Single Family Residential,1226 92Nd Ave,Oakland,94603,550000,1530,8080.0,1908,26,3.0,2.0,50742,62683,19338,1.8%,67,359.47712418300654,-500089.2706737842
451,Single Family Residential,10314 Pearmain St,Oakland,94603,420000,532,4000.0,1925,26,1.0,1.0,50742,62683,19338,1.8%,67,789.4736842105264,63063.654860194016
452,Single Family Residential,1334 106Th Ave,Oakland,94603,499000,1275,3800.0,1930,26,2.0,1.0,50742,62683,19338,1.8%,67,391.37254901960785,-368857.1958942439
453,Single Family Residential,1638 103rd Ave,OAKLAND,94603,545000,686,3914.0,1922,26,2.0,2.0,50742,62683,19338,1.8%,67,794.4606413994169,93751.29651600879
454,Multi-Family (2-4 Unit),9318 Walnut St,Oakland,94603,830000,2880,12000.0,1944,26,6.0,4.0,50742,62683,19338,1.8%,67,288.19444444444446,-1197726.6491217175
455,Single Family Residential,2388 103Rd Ave,Oakland,94603,460000,921,3614.0,1948,26,2.0,1.0,50742,62683,19338,1.8%,67,499.457111834962,-90419.20819637633
456,Single Family Residential,2100 108th Ave,Oakland,94603,699900,1711,5050.0,1936,26,4.0,3.0,50742,62683,19338,1.8%,67,409.05902980713034,-474897.732689905
457,Single Family Residential,10633 PEARMAIN St,Oakland,94603,450000,1048,3800.0,1926,26,3.0,2.0,50742,62683,19338,1.8%,67,429.3893129770992,-166628.0231115818
458,Single Family Residential,669 Catron Dr,Oakland,94603,535000,2055,4240.0,1944,26,5.0,2.0,50742,62683,19338,1.8%,67,260.34063260340633,-670817.3053421958
459,Single Family Residential,9954 E St,Oakland,94603,599000,1575,4970.0,1943,26,4.0,2.0,50742,62683,19338,1.8%,67,380.3174603174603,-335052.1830879105
460,Single Family Residential,9836 Springfield St,Oakland,94603,495000,890,5616.0,1941,26,2.0,1.0,50742,62683,19338,1.8%,67,556.1797752808989,-25982.498139592004
461,Multi-Family (2-4 Unit),2603 E 27th St,Oakland,94601,785000,2396,3537.0,1944,24,4.0,4.0,46830,63615,20335,3.2%,95,327.62938230383975,-1165528.0890581962
462,Multi-Family (2-4 Unit),2637 E 16th St,Oakland,94601,850000,4192,5998.0,1926,24,4.0,4.0,46830,63615,20335,3.2%,95,202.76717557251908,-2725040.6136652115
463,Single Family Residential,2524 25Th Ave,Oakland,94601,549000,2551,5920.0,1928,24,4.0,3.0,46830,63615,20335,3.2%,95,215.20972167777342,-1420160.095505027
464,Multi-Family (2-4 Unit),2000 Harrington Ave,Oakland,94601,875000,3286,8000.0,1954,24,8.0,4.0,46830,63615,20335,3.2%,95,266.28119293974436,-1230110.1889759968
465,Single Family Residential,3541 Custer St,Oakland,94601,459000,924,2700.0,1924,24,4.0,1.0,46830,63615,20335,3.2%,95,496.75324675324674,202984.82153350298
466,Condo/Co-op,5209 Foothill Blvd #12,Oakland,94601,389000,915,15541.0,1991,24,3.0,1.5,46830,63615,20335,3.2%,95,425.1366120218579,-94574.65135660389
467,Multi-Family (2-4 Unit),2443 Grande Vista Ave,Oakland,94601,1235000,2898,5250.0,1966,24,9.0,5.0,46830,63615,20335,3.2%,95,426.15596963423053,-476002.256635834
468,Single Family Residential,4025 E 18Th St,Oakland,94601,499000,854,2500.0,1916,24,2.0,1.0,46830,63615,20335,3.2%,95,584.3091334894614,-19062.88258065167
469,Single Family Residential,698 Santa Ray Ave,Oakland,94601,1349000,1783,6950.0,1926,24,3.0,1.5,46830,63615,20335,3.2%,95,756.5900168255748,91060.65233771899
470,Condo/Co-op,1828 Vicksburg Ave #2,Oakland,94601,449000,915,15541.0,1991,24,3.0,1.5,46830,63615,20335,3.2%,95,490.7103825136612,-34574.65135660389
471,Multi-Family (5+ Unit),1515 28th Ave,Oakland,94601,1395000,2448,7900.0,1906,24,6.0,4.0,46830,63615,20335,3.2%,95,569.8529411764706,-268376.46642762236
472,Single Family Residential,2226 Courtland Ave,Oakland,94601,499000,1920,3082.0,1908,24,3.0,2.0,46830,63615,20335,3.2%,95,259.8958333333333,-939085.7340236579
473,Single Family Residential,3419 E 17Th St,Oakland,94601,575000,1208,4320.0,1907,24,3.0,3.0,46830,63615,20335,3.2%,95,475.9933774834437,-336323.4671459119
474,Single Family Residential,,Oakland,94601,998000,2034,5200.0,1925,24,4.0,2.0,46830,63615,20335,3.2%,95,490.65880039331364,-383153.5945939687
475,Condo/Co-op,340 29th Ave #308,Oakland,94601,706788,1051,25665.0,2016,24,2.0,1.5,46830,63615,20335,3.2%,95,672.4909609895337,-68350.68105916749
476,Condo/Co-op,340 29th Ave #203,Oakland,94601,525257,732,25665.0,2016,24,1.0,1.0,46830,63615,20335,3.2%,95,717.5642076502733,-64839.030637638876
477,Single Family Residential,2245 High St,Oakland,94601,505000,1254,4160.0,1915,24,4.0,2.0,46830,63615,20335,3.2%,95,402.71132376395536,-167226.3879265485
478,Single Family Residential,5036 Bancroft Ave,Oakland,94601,618000,1272,4800.0,1924,24,3.0,2.0,46830,63615,20335,3.2%,95,485.8490566037736,-235774.72795107053
479,Single Family Residential,2609 Inyo Ave,Oakland,94601,459500,739,1980.0,1906,24,3.0,1.0,46830,63615,20335,3.2%,95,621.786197564276,211100.38074672478
480,Single Family Residential,1207 51St Ave,Oakland,94601,425000,1053,5500.0,1905,24,2.0,1.0,46830,63615,20335,3.2%,95,403.60873694207027,-271341.2808449422
481,Single Family Residential,1538 50Th Ave,Oakland,94601,499000,1134,3364.0,1905,24,3.0,2.0,46830,63615,20335,3.2%,95,440.0352733686067,-226057.26385848783
482,Single Family Residential,2155 42 Ave,OAKLAND,94601,815000,1941,6090.0,1910,24,4.0,3.0,46830,63615,20335,3.2%,95,419.8866563626996,-597797.9073496228
483,Multi-Family (2-4 Unit),3574 Davis St,Oakland,94601,650000,1048,4000.0,1923,24,5.0,3.0,46830,63615,20335,3.2%,95,620.2290076335878,207675.15854166565
484,Single Family Residential,3516 E 15TH St,Oakland,94601,499000,737,1125.0,1928,24,2.0,1.0,46830,63615,20335,3.2%,95,677.0691994572592,84697.068146136
485,Multi-Family (2-4 Unit),1644 46th,Oakland,94601,749000,2796,6900.0,1923,24,6.0,4.0,46830,63615,20335,3.2%,95,267.8826895565093,-1233062.4978613039
486,Multi-Family (2-4 Unit),2217 COOLIDGE Ave,Oakland,94601,985000,3783,6250.0,1965,24,10.0,5.0,46830,63615,20335,3.2%,95,260.375363468147,-1364490.1311807898
487,Single Family Residential,1731 Chase St,Oakland,94601,567000,1492,3999.0,2019,24,4.0,2.5,46830,63615,20335,3.2%,95,380.02680965147454,-400230.0735780108
488,Multi-Family (2-4 Unit),1803 Rosedale Ave,Oakland,94601,799000,2632,3961.0,1969,24,6.0,3.0,46830,63615,20335,3.2%,95,303.57142857142856,-924387.6809535921
489,Multi-Family (2-4 Unit),3319 San Leandro St,Oakland,94601,595000,2702,3960.0,1912,24,4.0,3.0,46830,63615,20335,3.2%,95,220.20725388601036,-1507974.5378856272
490,Condo/Co-op,811 York St #205,Oakland,94610,499000,641,,1975,22,1.0,1.0,96681,135097,67152,18.4%,87,778.4711388455538,-35265.923615134554
491,Single Family Residential,1200 E 28Th St,Oakland,94610,625000,1848,4609.0,1900,22,3.0,2.0,96681,135097,67152,18.4%,87,338.20346320346323,-780782.3703053943
492,Single Family Residential,1265 Holman Rd,Oakland,94610,1089000,2470,3600.0,1924,22,3.0,3.0,96681,135097,67152,18.4%,87,440.8906882591093,-1003976.1819990876
493,Single Family Residential,1495 Trestle Glen Rd,Oakland,94610,839000,1273,4972.0,1964,22,2.0,1.5,96681,135097,67152,18.4%,87,659.0730557737628,-161920.1881176266
494,Condo/Co-op,330 Vernon St #207,Oakland,94610,699000,1119,3500.0,1963,22,2.0,2.0,96681,135097,67152,18.4%,87,624.6648793565683,-221542.7383087005
495,Condo/Co-op,555 Jean St #430,Oakland,94610,400000,622,,1971,22,1.0,1.0,96681,135097,67152,18.4%,87,643.0868167202573,-116279.53423137031
496,Single Family Residential,907 York St,Oakland,94610,915000,1586,4000.0,1923,22,3.0,2.0,96681,135097,67152,18.4%,87,576.9230769230769,-257691.3340695824
497,Multi-Family (2-4 Unit),580 Valle Vista Ave,Oakland,94610,1078000,3316,3240.0,1928,22,4.0,4.0,96681,135097,67152,18.4%,87,325.09047044632086,-1737876.615793224
498,Condo/Co-op,696 Athol Ave #303,Oakland,94610,649000,970,,1972,22,2.0,2.0,96681,135097,67152,18.4%,87,669.0721649484536,-138203.83255509008
499,Single Family Residential,806 Macarthur Blvd,Oakland,94610,1599000,2622,4600.0,1920,22,5.0,5.5,96681,135097,67152,18.4%,87,609.8398169336384,-600983.7255038908
500,Condo/Co-op,320 Park View Ter #203,Oakland,94610,620000,714,,1971,22,2.0,1.0,96681,135097,67152,18.4%,87,868.3473389355743,183841.89666502213
501,Condo/Co-op,424 Staten Ave #104,Oakland,94610,470000,753,,1963,22,1.0,1.0,96681,135097,67152,18.4%,87,624.1699867197875,-163493.71575347183
502,Single Family Residential,915 Grosvenor Pl,Oakland,94610,1250000,4163,14870.0,2020,22,6.0,4.5,96681,135097,67152,18.4%,87,300.26423252462166,-2083578.3594272449
503,Multi-Family (2-4 Unit),1231 MacArthur Blvd,Oakland,94610,975000,2464,4550.0,1923,22,6.0,3.0,96681,135097,67152,18.4%,87,395.69805194805195,-621807.0982343839
504,Multi-Family (2-4 Unit),527 Kenmore Ave,Oakland,94610,1450000,3446,8245.0,1921,22,4.0,3.0,96681,135097,67152,18.4%,87,420.7777132907719,-1363567.2494800189
505,Condo/Co-op,5340 Broadway Ter #203,Oakland,94618,675000,953,,1971,24,2.0,1.0,156116,207973,90384,37.4%,57,708.289611752361,56692.80958781275
506,Single Family Residential,5307 Thomas Ave,Oakland,94618,649000,832,1800.0,1910,24,1.0,1.0,156116,207973,90384,37.4%,57,780.0480769230769,-11488.25359387463
507,Condo/Co-op,320 Caldecott Ln #314,Oakland,94618,559000,853,,1998,24,1.0,1.0,156116,207973,90384,37.4%,57,655.3341148886284,-137335.4281137092
508,Single Family Residential,5543 Masonic Ave,Oakland,94618,1679000,2538,6290.0,1958,24,3.0,3.0,156116,207973,90384,37.4%,57,661.5445232466509,-447621.03270632867
509,Single Family Residential,170 Sheridan Rd,Oakland,94618,1699000,3352,5300.0,2019,24,4.0,3.0,156116,207973,90384,37.4%,57,506.8615751789976,-1013597.1498838915
510,Townhouse,1858 Grand View Dr,Oakland,94618,989000,1943,2291.0,1995,24,3.0,3.0,156116,207973,90384,37.4%,57,509.0066906845085,-605362.8880964897
511,Single Family Residential,5874 Chabot Ct,Oakland,94618,1395000,1556,4800.0,1922,24,2.0,1.0,156116,207973,90384,37.4%,57,896.5295629820051,239475.77147940896
512,Condo/Co-op,300 Caldecott Ln #206,OAKLAND,94618,498000,773,,1998,24,1.0,1.0,156116,207973,90384,37.4%,57,644.2432082794307,-125820.89069849998
513,Townhouse,403 Hiller Dr,OAKLAND,94618,985000,2103,2248.0,1994,24,4.0,2.5,156116,207973,90384,37.4%,57,468.37850689491205,-531283.6859138471
514,Multi-Family (2-4 Unit),5229 Miles Ave,Oakland,94618,2159000,3748,8100.0,1936,24,4.0,3.0,156116,207973,90384,37.4%,57,576.0405549626468,-896687.2350754002
515,Single Family Residential,13533 Campus Dr,Oakland,94605,2998000,5253,14127.0,2014,24,5.0,5.5,69087,97630,37495,9.2%,29,570.7214924804873,-1570275.8698656773
516,Condo/Co-op,6763 Skyview Dr,Oakland,94605,1324405,2903,,2020,24,4.0,2.5,69087,97630,37495,9.2%,29,456.21942817774715,-921991.2739256774
517,Single Family Residential,4549 Sequoyah Rd,Oakland,94605,949000,1931,5310.0,1965,24,4.0,3.0,69087,97630,37495,9.2%,29,491.45520455722425,-465241.15795293543
518,Single Family Residential,2665 Talbot Ave,Oakland,94605,439500,1000,5100.0,1948,24,2.0,1.0,69087,97630,37495,9.2%,29,439.5,-217015.40734462417
